Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"100n","C1, C3, C430, C431, C430_2, C431_2","C0603","C14663"
"47p","C2, C4","C0603","C1671"
"Fuse-Pad-Pad","F1, F4","PAD-1206-PAD","C182446"
"10A","F2, F3, F5, F6, F7, F8","FUSE_8.5x4","C354908"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"Conn_01x02","J1, J2","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","C240832"
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"XH-6AW","J4, J5, J16, J17","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C8876"
"XH-4AW","J6","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","C21273"
"XH-10AW","J7, J10","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"7-967288-1","J8","TE_7-967288-1",""
"7-967288-1","J9","TE_7-967288-1",""
"Conn_01x06","J13","PinHeader_1x06_P2.54mm_Vertical",""
"XH-8AW","J19","JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal","C10395"
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
"Pad","P39","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P42","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P57","PAD-TH",""
"Pad","P58","PAD-TH",""
"Pad","P59","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P62","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P64","PAD-TH",""
"Pad","P65","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P70","PAD-TH",""
"Pad","P71","PAD-TH",""
"Pad","P72","PAD-TH",""
"Pad","P73","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P75","PAD-TH",""
"Pad","P76","PAD-TH",""
"Pad","P77","PAD-TH",""
"Pad","P78","PAD-TH",""
"Pad","P79","PAD-TH",""
"22","R1, R3","R0603","C23345"
"DNP","R2","R_2512_6332Metric",""
"DNP","R4","R_2512_6332Metric",""
"51k","R5, R6","R0603","C23196"
"1u","C600, C607, C609, C610, C611, C600_2, C607_2, C609_2, C610_2, C611_2","C0402","C52923"
"100n","C601, C602, C605, C608, C612, C613, C614, C615, C601_2, C602_2, C605_2, C608_2, C612_2, C613_2, C614_2, C615_2","C0402","C1525"
"33n","C603, C603_2","C0402","C1585"
"DNP","C604","C0402",""
"DNP","C606","C0402",""
"4.7u","C616, C616_2","C0603","C19666"
"LED-RED-0603","D600, D603, D600_2, D603_2","LED-0603","C2286"
"LED-GREEN-0603","D601, D601_2","LED-0603","C72043"
"LED-BLUE-0603","D602, D602_2","LED-0603","C72041"
"1k","R600, R601, R616, R617, R622, R626, R627, R628, R600_2, R601_2, R616_2, R617_2, R622_2, R626_2, R627_2, R628_2","R0402","C11702"
"68k","R602, R603, R602_2, R603_2","R0402","C36871"
"10k","R604, R605, R613, R614, R618, R619, R625, R604_2, R605_2, R613_2, R614_2, R618_2, R619_2, R625_2","R0402","C25744"
"10","R606, R606_2","R0402","C25077"
"22k","R607, R607_2","R0402","C25768"
"47","R608, R608_2","R0402","C25118"
"61.9","R609, R609_2","R0603","C23092"
"20k","R610, R611, R612, R610_2, R611_2, R612_2","R0402","C25765"
"100k","R615, R621, R615_2, R621_2","R0402","C25741"
"27k","R620, R623, R620_2, R623_2","R0402","C25771"
